time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
59,89.9556,90.7159,-0.0270773,-0.00635432,-0.0186611,0.000844798,33172,33116,33712
60,91.8641,90.8819,0.0209932,0.00182784,0.0102441,-0.00405444,33039,33308,33653
61,89.5577,90.3713,-0.0254266,-0.00563434,-0.0163835,-0.00425288,33013,33295,33692
62,91.7177,90.8836,0.0238325,0.00565297,0.014696,-0.00662432,32916,33355,33729
63,89.8526,90.9089,-0.0205451,0.000278928,-0.00885758,-0.00614479,32914,33321,33765
64,91.6743,90.6598,0.0200716,-0.00274462,0.00894286,-0.00921666,32841,33452,33707
65,89.5209,90.3856,-0.0237706,-0.00302897,-0.0141577,-0.00694874,32941,33402,33657
66,91.501,90.5878,0.0218785,0.00223537,0.0118482,-0.0100885,32871,33541,33588
67,89.1073,89.8701,-0.0265089,-0.00795465,-0.0179849,-0.00829607,32933,33484,33583
68,90.7282,89.5555,0.0180264,-0.00350723,0.00501675,-0.00852281,32922,33488,33590
69,88.9803,90.0781,-0.0194525,0.00581911,-0.00719051,-0.00573148,33047,33428,33525
70,91.2258,90.4253,0.0249228,0.00384682,0.0161088,-0.00781814,32996,33516,33488
71,92.6007,91.0293,0.0149591,0.0066572,-0.0021568,-0.0060019,33040,33439,33521
72,90.2197,91.0045,-0.0260488,-0.000271969,-0.0173879,-0.00406308,33091,33361,33548
73,90.5117,90.4413,0.00323056,-0.00620839,0.00245252,-0.00628969,33020,33438,33542
74,91.3666,90.593,0.00940064,0.00167632,0.00089828,-0.00341513,33121,33348,33531
75,89.6025,90.6925,-0.0194958,0.00109772,-0.00740464,-0.00448484,33074,33372,33554
76,92.0116,91.2369,0.0265307,0.00598426,0.0180754,-0.00722282,32988,33468,33544
77,93.4296,92.0083,0.0152935,0.00841922,-3.60983e-05,-0.00346469,33077,33307,33616
78,91.6421,92.8248,-0.019317,0.00883568,-0.00649394,-0.000587571,33168,33207,33625
79,93.4935,92.3725,0.020001,-0.00488448,0.00793857,-0.0046607,32995,33304,33701
80,91.5253,92.5595,-0.0212766,0.00202245,-0.01004,-0.00168848,33110,33222,33668
81,93.6238,92.6876,0.0226698,0.0013826,0.0126193,-0.00310522,33067,33273,33660
82,91.4334,92.339,-0.0236742,-0.00376762,-0.0138181,-0.002006,33084,33217,33699
83,93.6275,92.7449,0.0237129,0.00438533,0.0142414,-0.00401267,33012,33278,33710
84,91.6562,92.6873,-0.0212794,-0.000620428,-0.0100919,-0.00386298,33007,33263,33730
85,94.1709,93.3985,0.0270665,0.00764392,0.0188314,-0.00607211,32983,33386,33631
86,95.6033,94.1235,0.0150969,0.00773188,-0.000503216,-0.00090465,33132,33192,33676
87,93.3663,94.2877,-0.0236771,0.00174331,-0.0138568,3.01432e-05,33176,33174,33650
88,95.3007,94.2206,0.0205067,-0.000712519,0.00910781,-0.0031026,33095,33301,33604
89,92.8776,93.715,-0.0257553,-0.0053804,-0.0167792,-0.00219952,33116,33262,33622
90,94.6209,93.4082,0.0185965,-0.00327875,0.00569728,-0.0048494,33039,33361,33600
91,92.789,93.9366,-0.0195503,0.0056411,-0.00725814,-0.00135616,33137,33227,33636
92,94.9108,93.9749,0.0226093,0.000407275,0.0126994,-0.00177722,33139,33257,33604
93,93.0232,94.1098,-0.0200889,0.00143472,-0.00847519,0.00150616,33247,33147,33606
94,95.2084,94.2931,0.0232194,0.00194537,0.0135591,-0.00189879,33116,33242,33642
95,92.7053,93.5003,-0.0266427,-0.00844315,-0.0181034,0.00052788,33169,33134,33697
96,94.533,93.4063,0.0195236,-0.00100555,0.00753368,-0.00224855,33058,33207,33735
97,92.683,93.7878,-0.0197634,0.00407599,-0.00791391,0.00132838,33167,33079,33754
98,95.0129,94.1597,0.0248273,0.00395699,0.0158065,-0.000845589,33085,33141,33774
99,92.8069,93.6985,-0.0234921,-0.00491016,-0.0139309,0.00170543,33186,33073,33741
100,95.0625,94.1824,0.0240137,0.00515181,0.0147131,-0.00147884,33085,33183,33732
101,93.0732,94.074,-0.0211475,-0.00115146,-0.0104521,0.00241298,33234,33074,33692
102,95.2499,94.3316,0.0231171,0.00273433,0.0134298,-0.00211136,33084,33224,33692
103,93.1316,94.079,-0.0224899,-0.00268194,-0.0123693,-0.000226384,33122,33137,33741
104,95.3444,94.4515,0.0234818,0.00395176,0.0140724,-0.00178199,33050,33168,33782
105,93.4067,94.4453,-0.0205329,-6.55871e-05,-0.00947496,0.00114724,33161,33085,33754
106,95.1477,93.9125,0.0184673,-0.00565716,0.00540081,-0.00360902,32992,33231,33777
107,92.9132,93.8013,-0.0237645,-0.0011846,-0.014251,-0.00235756,33007,33163,33830
108,95.0751,94.1691,0.0230011,0.00391351,0.013427,-0.00411435,32919,33191,33890
109,96.4824,94.9817,0.0146939,0.00859197,-0.000982136,-0.00140583,33030,33123,33847
110,94.5341,95.5922,-0.0204003,0.00640709,-0.0092689,0.00361262,33198,32959,33843
111,96.4132,95.2542,0.0196832,-0.00354209,0.00758934,-0.000620169,33035,33076,33889
112,94.4401,95.4831,-0.020678,0.00239998,-0.00969388,0.000529269,33082,33047,33871
113,96.7506,95.8594,0.024171,0.0039331,0.0149173,-0.00205643,32999,33135,33866
114,94.4812,95.3727,-0.0237358,-0.0050899,-0.0143436,0.00260259,33130,32958,33912
