time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,98.0577,99.3189,-0.0196146,-0.00683403,-0.00683403,0.00220592,33393,33246,33361
1,100.593,99.8423,0.0255233,0.00525567,0.0180362,-0.000764927,33311,33362,33327
2,98.433,99.4823,-0.0217032,-0.00361191,-0.011099,0.0002251,33326,33311,33363
3,100.513,99.473,0.0209131,-9.40328e-05,0.0105102,-0.000495473,33285,33318,33397
4,100.575,100.837,0.000611985,0.0136232,0.00322028,0.00121737,33309,33228,33463
5,101.228,100.074,0.00647709,-0.00759653,-0.00498824,0.00378845,33385,33133,33482
6,98.9076,99.7214,-0.0231915,-0.00353262,-0.0149979,0.00350318,33372,33139,33489
7,100.94,99.9948,0.0203363,0.0027385,0.0109321,0.000345652,33282,33259,33459
8,99.1247,100.239,-0.0181444,0.00244168,-0.00696251,0.00552669,33477,33109,33414
9,101.602,100.793,0.0246838,0.00550904,0.016691,0.00425072,33430,33147,33423
10,102.807,101.498,0.01179,0.00696765,-0.00102516,0.00654733,33514,33078,33408
11,100.263,101.123,-0.0250553,-0.00370214,-0.0165173,0.00625225,33476,33060,33464
12,102.353,101.236,0.0206263,0.00111838,0.00965641,0.00489475,33464,33138,33398
13,100.383,101.568,-0.0194302,0.00327072,-0.0076992,0.00489622,33454,33128,33418
14,102.701,101.707,0.0228246,0.00136802,0.0130991,-0.001097,33236,33309,33455
15,100.436,101.472,-0.0223007,-0.00230813,-0.0120337,0.00136844,33295,33204,33501
16,102.612,101.545,0.0214412,0.000715404,0.0109824,-0.000225608,33236,33251,33513
17,103.578,102.443,0.00936958,0.00880668,-0.00165212,0.00584901,33448,33059,33493
18,100.123,100.838,-0.0339288,-0.0157916,-0.0268133,0.00778228,33475,32958,33567
19,101.991,100.685,0.0184825,-0.00151553,0.00559993,0.0042934,33333,33048,33619
20,102.362,101.85,0.00363524,0.0115045,-0.00137805,0.00703557,33422,32955,33623
21,102.6,102.37,0.0023254,0.00508714,7.3846e-05,0.00555848,33377,33008,33615
22,100.652,102.029,-0.0191747,-0.00333392,-0.00558548,0.00635064,33436,33014,33550
23,102.893,101.848,0.0220248,-0.00177471,0.0118145,0.00320633,33322,33109,33569
24,100.714,101.875,-0.021405,0.000267071,-0.0099432,0.00611059,33424,33018,33558
25,102.81,101.68,0.0205988,-0.00191768,0.00954417,0.00478584,33382,33064,33554
26,100.821,102.144,-0.0195346,0.00455137,-0.00650321,0.00192638,33287,33159,33554
27,103.006,101.955,0.0214397,-0.00185399,0.0111774,-0.00433422,33080,33368,33552
28,100.411,101.354,-0.0255157,-0.00591099,-0.0161733,-0.00146003,33170,33267,33563
